Combatentes_por_Time,Total_Combatentes,Simulacoes,Tempo_Total_s,Tempo_Medio_ms,Combates_por_Segundo
1,3,100000,90.394,0.904,1106.26
2,6,100000,180.215,1.802,554.89
3,9,100000,278.089,2.781,359.6
4,12,100000,372.058,3.721,268.77
5,15,100000,475.482,4.755,210.31
6,18,100000,587.343,5.873,170.26
7,21,100000,673.683,6.737,148.44
8,24,100000,779.876,7.799,128.23
9,27,100000,892.813,8.928,112.01
10,30,100000,1001.504,10.015,99.85
