Combatentes_por_Time,Total_Combatentes,Simulacoes,Tempo_Total_s,Tempo_Medio_ms,Combates_por_Segundo
1,3,10000,8.918,0.892,1121.35
2,6,10000,17.873,1.787,559.52
3,9,10000,27.32,2.732,366.03
4,12,10000,37.061,3.706,269.83
5,15,10000,46.712,4.671,214.08
6,18,10000,56.571,5.657,176.77
7,21,10000,68.148,6.815,146.74
8,24,10000,78.323,7.832,127.68
9,27,10000,89.246,8.925,112.05
10,30,10000,99.889,9.989,100.11
